# Location,Boise River Basin
# Site,Banner Snotel
# PitID,IDBRBS
# Date/Local Time,2020-03-12T11:00
# UTM Zone,11N
# Easting,640819
# Northing,4907111
# Latitude,44.30361
# Longitude,-115.23456
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
134.0,132.5,2-4 mm,MFCR,P,M,NaN
132.5,122.0,1-2 mm,DF,F,M,NaN
122.0,119.0,1-2 mm,MFCR,P,D,NaN
119.0,114.5,1-2 mm,FC,F,D,two large verticle percolation columns. Connecting ice layers (IF) above and below. Photos attached with grain card for scale.
114.5,114.0,[],IF,K,[],NaN
114.0,99.0,1-2 mm,FC,[],D,NaN
99.0,98.5,[],IF,K,[],NaN
98.5,77.0,1-2 mm,RG,4F,D,some facets
77.0,49.0,1-2 mm,FC,1F,D,NaN
49.0,47.5,[],IF,K,[],NaN
47.5,37.0,1-2 mm,FC,P,D,lots of ~1 mm
37.0,11.0,1-2 mm,FC,1F,D,lots of ~1.5 mm (larger than above)
11.0,0.0,2-4 mm,FC,P,D,"variable layer, less icy than previous visits"
