# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-02-20T11:00
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
143.0,133.0,173.0,171.0,NaN
133.0,123.0,193.0,280.0,193.0
123.0,113.0,296.0,322.0,NaN
113.0,103.0,306.0,312.0,NaN
103.0,93.0,268.0,272.0,NaN
93.0,83.0,275.0,272.0,NaN
83.0,73.0,284.0,290.0,NaN
73.0,63.0,323.0,298.0,NaN
63.0,53.0,332.0,332.0,NaN
53.0,43.0,318.0,337.0,NaN
43.0,33.0,359.0,348.0,NaN
33.0,23.0,340.0,336.0,NaN
23.0,13.0,341.0,362.0,NaN
13.0,3.0,337.0,NaN,NaN
