# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-03-04T14:55
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
126.0,116.0,337.5,1.901,1.728,1.9705787693293064,1.081784248165701
116.0,106.0,359.5,1.963,1.637,2.0803756098836557,0.4013236311245624
106.0,96.0,334.0,1.683,1.54,0.8836567788744125,0.14849858847786004
96.0,86.0,320.0,1.682,1.505,1.0098150513897763,0.1011855920271394
86.0,76.0,339.3333333333333,1.503,1.519,0.0,0.0
76.0,66.0,361.5,1.506,1.566,0.0,0.015558165684185356
66.0,56.0,379.5,1.547,1.604,0.0,0.03239449387198818
56.0,46.0,428.5,1.665,1.669,0.0,0.0
46.0,36.0,399.5,1.605,1.719,0.0,0.42405362920774575
36.0,26.0,376.5,1.611,1.615,0.09868611118252121,0.11934719871210032
26.0,16.0,374.6666666666667,1.62,1.67,0.16351657998973498,0.4216840210118857
16.0,6.0,357.5,1.641,1.695,0.441511368305556,0.7197661354280637
