# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-03-04T14:55
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
122.0,116.0,< 1 mm,RG,F,W,NaN
116.0,110.5,< 1 mm,RG,F,W,NaN
110.5,109.5,[],IF,P,[],no grain size for ice layer
109.5,101.0,< 1 mm,RG,4F,W,NaN
101.0,100.0,< 1 mm,MFCR,K,[],NaN
100.0,95.0,< 1 mm,RG,4F,W,NaN
95.0,92.5,[],IF,K,[],no grain size for ice layer
92.5,74.0,< 1 mm,RG,1F,W,"average grain size less than 1 mm, some are 1.5 mm"
74.0,71.0,1-2 mm,MFCR,P,M,NaN
71.0,60.0,1-2 mm,FC,1F,M,Some rounds
60.0,36.0,< 1 mm,RG,P,M,NaN
36.0,0.0,1-2 mm,FC,1F,M,Some rounds
