# Location,Boise River Basin
# Site,Bogus Upper
# PitID,IDBRBU
# Date/Local Time,2020-03-11T15:00
# UTM Zone,11N
# Easting,573240
# Northing,4845491
# Latitude,43.75884
# Longitude,-116.09017
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
113.0,104.0,2-4 mm,RG,F,W,NaN
104.0,102.0,[],MFCR,K,[]," no wettness, crust layer with ice piece"
102.0,94.0,1-2 mm,RG,4F,W,NaN
94.0,92.0,[],MFCR,K,[],"ice layer, no grain size"
92.0,87.0,1-2 mm,RG,4F,W,NaN
87.0,86.0,[],IF,K,[],"ice layer, no grain size"
86.0,66.5,1-2 mm,RG,4F,W,NaN
66.5,65.5,[],IF,K,[],"ice layer, no grain size"
65.5,48.0,1-2 mm,RG,1F,W,NaN
48.0,38.0,1-2 mm,RG,1F,W,"harder than layer above, still 1F"
38.0,36.0,[],IF,K,[],NaN
36.0,28.0,1-2 mm,FC,1F,W,NaN
28.0,0.0,1-2 mm,FC,4F,W,sugary 
