# Location,Boise River Basin
# Site,LDP Open
# PitID,IDBRLO
# Date/Local Time,2020-02-12T15:19
# UTM Zone,11N
# Easting,570716
# Northing,4843040
# Latitude,43.73702
# Longitude,-116.12184
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
94.0,92.0,< 1 mm,FC,F,D,NaN
92.0,82.0,< 1 mm,MF,P,D,NaN
82.0,74.0,< 1 mm,MF,P,D,NaN
74.0,72.0,[],MFCR,I,D,ice
72.0,66.0,< 1 mm,MF,1F,D,NaN
66.0,62.0,1-2 mm,MF,1F,D,NaN
62.0,55.0,< 1 mm,MF,4F,D,NaN
55.0,53.0,[],MFCR,I,D,ice
53.0,47.0,1-2 mm,MF,K,D,NaN
47.0,0.0,< 1 mm,MF,1F,D,NaN
