# Location,Boise River Basin
# Site,LDP Open
# PitID,IDBRLO
# Date/Local Time,2020-02-20T08:45
# UTM Zone,11N
# Easting,570716
# Northing,4843040
# Latitude,43.73702
# Longitude,-116.12184
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
111.0,101.0,192.0,200.0,NaN
101.0,91.0,208.0,196.0,NaN
91.0,81.0,312.0,336.0,336.0
81.0,71.0,296.0,316.0,292.0
71.0,61.0,244.0,272.0,268.0
61.0,51.0,288.0,288.0,NaN
51.0,41.0,296.0,280.0,292.0
41.0,31.0,336.0,308.0,308.0
31.0,21.0,296.0,292.0,NaN
21.0,11.0,292.0,NaN,NaN
