# Location,Boise River Basin
# Site,Mores Creek Summit
# PitID,IDBRMC
# Date/Local Time,2020-02-12T11:00
# UTM Zone,11N
# Easting,606192
# Northing,4866876
# Latitude,43.94735
# Longitude,-115.67666
# Depth (cm),Temperature (deg C)
260.0,-1.0
250.0,-5.0
240.0,-6.0
230.0,-6.0
220.0,-6.0
210.0,-5.0
200.0,-4.0
190.0,-4.0
180.0,-4.0
170.0,-3.0
160.0,-3.0
150.0,-3.0
140.0,-3.0
130.0,-3.0
120.0,-3.0
110.0,-3.0
100.0,-2.0
90.0,-2.0
80.0,-2.0
70.0,-2.0
60.0,-2.0
50.0,-1.0
40.0,-1.0
30.0,-1.0
20.0,-1.0
10.0,-1.0
0.0,0.0
