# Location,Boise River Basin
# Site,Mores Creek Summit
# PitID,IDBRMC
# Date/Local Time,2020-03-11T12:00
# UTM Zone,11N
# Easting,606192
# Northing,4866876
# Latitude,43.94735
# Longitude,-115.67666
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
240.0,230.0,272.0,NaN,NaN
230.0,220.0,344.0,NaN,NaN
220.0,210.0,344.0,NaN,NaN
210.0,200.0,384.0,NaN,NaN
200.0,190.0,380.0,NaN,NaN
190.0,180.0,400.0,NaN,NaN
180.0,170.0,344.0,NaN,NaN
170.0,160.0,372.0,NaN,NaN
160.0,150.0,352.0,NaN,NaN
150.0,140.0,396.0,NaN,NaN
140.0,130.0,372.0,NaN,NaN
130.0,120.0,364.0,NaN,NaN
120.0,110.0,392.0,NaN,NaN
110.0,100.0,364.0,NaN,NaN
100.0,90.0,372.0,NaN,NaN
90.0,80.0,384.0,NaN,NaN
80.0,70.0,384.0,NaN,NaN
70.0,60.0,372.0,NaN,NaN
60.0,50.0,400.0,NaN,NaN
50.0,40.0,368.0,NaN,NaN
40.0,30.0,320.0,NaN,NaN
30.0,20.0,320.0,NaN,NaN
20.0,10.0,420.0,NaN,NaN
