# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-02-05T11:14
# UTM Zone,13N
# Easting,361740
# Northing,3972675
# Latitude,35.88859
# Longitude,-106.53184
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
90.0,85.0,< 1 mm,DF,F,D,NaN
85.0,83.0,1-2 mm,MFCR,K,D,NaN
83.0,69.0,1-2 mm,FC,F,D,Fully developed facets
69.0,67.0,1-2 mm,MFCR,1F,D,"Decomposing, spatially variable"
67.0,41.0,1-2 mm,FC,4F,D,Some rounded grains (RG)
41.0,39.0,1-2 mm,MFCR,1F,D,Decomposing
39.0,24.0,1-2 mm,FC,4F,D,NaN
24.0,22.0,2-4 mm,MFCR,1F,D,Decomposing; spatially variable
22.0,13.0,2-4 mm,FC,4F,D,NaN
13.0,11.0,2-4 mm,MFCR,K,D,NaN
11.0,6.0,2-4 mm,FC,IF,D,NaN
6.0,0.0,1-2 mm,RG,P,D,Some facets (FC)
