# Location,Jemez River
# Site,BA Flux Tower
# PitID,NMJRBA
# Date/Local Time,2020-03-04T11:16
# UTM Zone,13N
# Easting,361740
# Northing,3972675
# Latitude,35.88859
# Longitude,-106.53184
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
82.5,82.0,[],MFCR,[],[],Sun crust
82.0,77.0,< 1 mm,MF,F,W,NaN
77.0,75.0,[],IF,P,W,Spatially variable ice lense; variable hand hardness P to K
75.0,72.0,1-2 mm,MF,F,W,NaN
72.0,71.0,1-2 mm,MFCR,P,D,NaN
71.0,68.0,1-2 mm,RG,4F,D,NaN
68.0,63.0,< 1 mm,FC,1F,D,Variable hand hardness 1F to 4F
63.0,61.0,< 1 mm,IF,K,D,Spatially variable ice lense
61.0,48.0,1-2 mm,FC,F,D,NaN
48.0,17.0,1-2 mm,FC,F,D,NaN
17.0,7.0,1-2 mm,FC,4F,D,NaN
7.0,0.0,1-2 mm,FC,1F,W,NaN
