# Location,Jemez River
# Site,HQ Met Station
# PitID,NMJRHQ
# Date/Local Time,2020-01-29T10:26
# UTM Zone,13N
# Easting,362632
# Northing,3969260
# Latitude,35.85793
# Longitude,-106.52137
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
69.0,68.0,2-4 mm,MFCR,4F,D,Surface crust; some FC and RG
68.0,60.0,1-2 mm,RG,F,D,NaN
60.0,51.0,1-2 mm,RG,F,D,Some FC
51.0,50.0,[],IF,F,D,Thin lens
50.0,42.0,1-2 mm,FC,F,D,NaN
42.0,33.0,1-2 mm,RG,F,D,NaN
33.0,28.0,2-4 mm,MF,4F,D,NaN
28.0,24.0,4-6 mm,FC,F,D,NaN
24.0,22.0,2-4 mm,FC,4F,D,NaN
22.0,14.0,1-2 mm,MF,K,D,NaN
14.0,0.0,4-6 mm,FC,P,D,NaN
