# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-01-31T11:30
# UTM Zone,12N
# Easting,446677
# Northing,4491448
# Latitude,40.5721
# Longitude,-111.62997
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
235.0,223.0,< 1 mm,RG,F,D,some DF
223.0,207.0,1-2 mm,RG,F,D,grain size range of <1 to 1-2mm 
207.0,185.0,1-2 mm,RG,4F,D,NaN
185.0,166.0,1-2 mm,RG,1F,D,NaN
166.0,144.0,1-2 mm,RG,P,D,NaN
144.0,95.0,1-2 mm,RG,P,D,NaN
95.0,67.0,1-2 mm,RG,P,D,grain size range of 1-4 mm
67.0,65.0,2-4 mm,MF,1F,D,NaN
65.0,51.0,1-2 mm,RG,P,D,NaN
51.0,42.0,1-2 mm,RG,P,D,Hand hardness of P+
42.0,33.0,2-4 mm,FC,P,D,some rounds; hand hardness of P-
33.0,0.0,2-4 mm,FC,1F,D,melt freeze at 28 cms
