# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-02-20T14:00
# UTM Zone,12N
# Easting,446677
# Northing,4491448
# Latitude,40.5721
# Longitude,-111.62997
# Depth (cm),Temperature (deg C)
265.0,-7.0
260.0,-8.5
250.0,-14.0
240.0,-13.0
230.0,-9.0
220.0,-8.5
210.0,-7.5
200.0,-7.0
190.0,-6.5
180.0,-6.4
170.0,-6.5
160.0,-5.5
150.0,-5.0
140.0,-4.5
130.0,-4.3
120.0,-4.0
110.0,-3.5
100.0,-3.5
90.0,-3.0
80.0,-2.5
70.0,-2.5
60.0,-2.0
50.0,-1.5
40.0,-1.0
30.0,-0.5
20.0,-0.5
10.0,0.0
0.0,0.0
