# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-03-12T10:30
# UTM Zone,12N
# Easting,446677
# Northing,4491448
# Latitude,40.5721
# Longitude,-111.62997
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
240.0,230.0,177.0,NaN,NaN,NaN,NaN
230.0,220.0,187.0,NaN,NaN,NaN,NaN
220.0,210.0,260.0,NaN,NaN,NaN,NaN
210.0,200.0,304.0,NaN,NaN,NaN,NaN
200.0,190.0,350.0,NaN,NaN,NaN,NaN
190.0,180.0,321.0,NaN,NaN,NaN,NaN
180.0,170.0,376.0,NaN,NaN,NaN,NaN
170.0,160.0,366.0,NaN,NaN,NaN,NaN
160.0,150.0,364.0,NaN,NaN,NaN,NaN
150.0,140.0,355.0,NaN,NaN,NaN,NaN
140.0,130.0,359.0,NaN,NaN,NaN,NaN
130.0,120.0,366.0,NaN,NaN,NaN,NaN
120.0,110.0,393.0,NaN,NaN,NaN,NaN
110.0,100.0,368.0,NaN,NaN,NaN,NaN
100.0,90.0,430.0,NaN,NaN,NaN,NaN
90.0,80.0,383.0,NaN,NaN,NaN,NaN
80.0,70.0,400.0,NaN,NaN,NaN,NaN
70.0,60.0,398.0,NaN,NaN,NaN,NaN
60.0,50.0,409.0,NaN,NaN,NaN,NaN
50.0,40.0,438.0,NaN,NaN,NaN,NaN
40.0,30.0,393.0,NaN,NaN,NaN,NaN
30.0,20.0,415.0,NaN,NaN,NaN,NaN
20.0,10.0,320.0,NaN,NaN,NaN,NaN
10.0,0.0,304.0,NaN,NaN,NaN,NaN
