# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-13T15:10
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
260.0,250.0,187.0,NaN,NaN,NaN,NaN
250.0,240.0,296.0,NaN,NaN,NaN,NaN
240.0,230.0,289.0,NaN,NaN,NaN,NaN
230.0,220.0,242.0,NaN,NaN,NaN,NaN
220.0,210.0,285.0,NaN,NaN,NaN,NaN
210.0,200.0,296.0,NaN,NaN,NaN,NaN
200.0,190.0,274.0,NaN,NaN,NaN,NaN
190.0,180.0,292.0,NaN,NaN,NaN,NaN
180.0,170.0,280.0,NaN,NaN,NaN,NaN
170.0,160.0,299.0,NaN,NaN,NaN,NaN
160.0,150.0,282.0,NaN,NaN,NaN,NaN
150.0,140.0,298.0,NaN,NaN,NaN,NaN
140.0,130.0,348.0,NaN,NaN,NaN,NaN
130.0,120.0,344.0,NaN,NaN,NaN,NaN
120.0,110.0,358.0,NaN,NaN,NaN,NaN
110.0,100.0,364.0,NaN,NaN,NaN,NaN
100.0,90.0,391.0,NaN,NaN,NaN,NaN
90.0,80.0,374.0,NaN,NaN,NaN,NaN
80.0,70.0,385.0,NaN,NaN,NaN,NaN
70.0,60.0,382.0,NaN,NaN,NaN,NaN
60.0,50.0,395.0,NaN,NaN,NaN,NaN
50.0,40.0,411.0,NaN,NaN,NaN,NaN
40.0,30.0,389.0,NaN,NaN,NaN,NaN
30.0,20.0,404.0,NaN,NaN,NaN,NaN
20.0,10.0,406.0,NaN,NaN,NaN,NaN
