# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-13T15:10
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Depth (cm),Temperature (deg C)
260.0,-2.7
250.0,-3.0
240.0,-2.9
230.0,-6.3
220.0,-6.5
210.0,-6.1
200.0,-5.8
190.0,-5.1
180.0,-4.8
170.0,-4.5
160.0,-4.1
150.0,-3.8
140.0,-3.6
130.0,-3.3
120.0,-2.7
110.0,-2.6
100.0,-2.3
90.0,-2.0
80.0,-1.7
70.0,-1.5
60.0,-1.2
50.0,-1.1
40.0,-0.9
30.0,-0.6
20.0,-0.5
10.0,-0.1
0.0,0.0
