# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-02-27T11:45
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Density A (kg/m3),Density B (kg/m3),Density C (kg/m3)
266.0,256.0,208.0,217.0,NaN
260.0,250.0,254.0,NaN,NaN
250.0,240.0,244.0,NaN,NaN
240.0,230.0,355.0,NaN,NaN
230.0,220.0,332.0,NaN,NaN
220.0,210.0,300.0,NaN,NaN
210.0,200.0,308.0,NaN,NaN
200.0,190.0,340.0,NaN,NaN
190.0,180.0,401.0,NaN,NaN
180.0,170.0,398.0,NaN,NaN
170.0,160.0,350.0,NaN,NaN
160.0,150.0,354.0,NaN,NaN
150.0,140.0,356.0,NaN,NaN
140.0,130.0,385.0,NaN,NaN
130.0,120.0,386.0,NaN,NaN
120.0,110.0,392.0,NaN,NaN
110.0,100.0,390.0,NaN,NaN
100.0,90.0,405.0,NaN,NaN
90.0,80.0,401.0,NaN,NaN
80.0,70.0,414.0,NaN,NaN
70.0,60.0,415.0,NaN,NaN
60.0,50.0,427.0,NaN,NaN
50.0,40.0,424.0,NaN,NaN
40.0,30.0,412.0,NaN,NaN
30.0,20.0,445.0,NaN,NaN
20.0,10.0,434.0,NaN,NaN
10.0,0.0,422.0,NaN,NaN
