# Location,Little Cottonwood
# Site,Atwater
# PitID,UTLCAW
# Date/Local Time,2020-03-05T12:30
# UTM Zone,12N
# Easting,446048
# Northing,4493579
# Latitude,40.59125
# Longitude,-111.63759
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
250.0,248.0,4-6 mm,DF,F,M,Surface melt
248.0,243.0,> 6 mm,MFCR,K,M,NaN
243.0,223.0,2-4 mm,RG,4F,M,NaN
223.0,221.0,[],IF,K,M,NaN
221.0,168.0,2-4 mm,RG,1F,D,NaN
168.0,165.0,[],MFCR,K,D,NaN
165.0,163.0,2-4 mm,RG,P,D,NaN
163.0,160.0,[],IF,K,D,NaN
160.0,148.0,2-4 mm,RG,1F,D,NaN
148.0,147.0,[],MFCR,K,D,NaN
147.0,129.0,2-4 mm,RG,1F,D,inconsistent
129.0,128.0,[],MFCR,K,D,NaN
128.0,119.0,2-4 mm,RG,1F,D,NaN
119.0,118.0,[],IF,K,D,ice lens
118.0,116.0,2-4 mm,RG,P,D,NaN
116.0,115.0,[],IF,K,D,ice lens
115.0,114.0,2-4 mm,RG,P,D,NaN
114.0,113.0,[],IF,K,D,ice lens
113.0,93.0,4-6 mm,RG,P,D,NaN
93.0,92.0,[],IF,K,D,ice lens
92.0,91.0,2-4 mm,RG,P,D,NaN
91.0,79.0,2-4 mm,RG,P,D,NaN
79.0,78.0,[],IF,K,D,ice lens
78.0,44.0,4-6 mm,RG,P,D,NaN
44.0,43.0,[],IF,K,D,ice lens
43.0,28.0,2-4 mm,RG,P,D,NaN
28.0,26.0,[],MFCR,1F,D,NaN
26.0,23.0,2-4 mm,RG,P,D,NaN
23.0,22.0,[],MFCR,K,D,NaN
22.0,0.0,2-4 mm,RG,P,D,HH of P+
