,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
0,CAAMCL_20191220_1300,CAAMCL,American River Basin,Caples Lake,757216,4288787,10,38.71033,-120.04187,12/20,13:00:00
1,CAAMCL_20200131_1215,CAAMCL,American River Basin,Caples Lake,757220,4288788,10,38.71034,-120.04182,1/31,12:15:00
2,CAAMCL_20200214_1200,CAAMCL,American River Basin,Caples Lake,757218,4288787,10,38.71033,-120.04185,2/14,12:00:00
3,CAAMCL_20200221_1200,CAAMCL,American River Basin,Caples Lake,757217,4288780,10,38.71027,-120.04186,2/21,12:00:00
4,CAAMCL_20200228_1130,CAAMCL,American River Basin,Caples Lake,757215,4288778,10,38.71025,-120.04188,2/28,11:30:00
5,CAAMCL_20200306_1145,CAAMCL,American River Basin,Caples Lake,757216,4288779,10,38.71026,-120.04187,3/6,11:45:00
6,CAAMCL_20200313_1030,CAAMCL,American River Basin,Caples Lake,757214,4288777,10,38.71024,-120.0419,3/13,10:30:00
7,IDBRLO_20200122_1512,IDBRLO,Boise River Basin,LDP Open,570719,4843040,11,43.73702,-116.1218,1/22,15:12:00
8,IDBRLO_20200131_0926,IDBRLO,Boise River Basin,LDP Open,570713,4843038,11,43.73701,-116.12188,1/31,9:26:00
9,IDBRLO_20200212_1519,IDBRLO,Boise River Basin,LDP Open,570713,4843043,11,43.73705,-116.12188,2/12,15:19:00
10,IDBRLO_20200220_0845,IDBRLO,Boise River Basin,LDP Open,570715,4843041,11,43.73703,-116.12185,2/20,8:45:00
11,IDBRLO_20200226_0928,IDBRLO,Boise River Basin,LDP Open,570718,4843040,11,43.73702,-116.12182,2/26,9:28:00
12,IDBRLO_20200304_1210,IDBRLO,Boise River Basin,LDP Open,570733,4843054,11,43.73715,-116.12163,3/4,12:10:00
13,IDBRLO_20200311_0930,IDBRLO,Boise River Basin,LDP Open,570732,4843059,11,43.73719,-116.12164,3/11,9:30:00
14,IDBRLT_20200122_1324,IDBRLT,Boise River Basin,LDP Tree,570828,4842964,11,43.73633,-116.12046,1/22,13:24:00
15,IDBRLT_20200131_1115,IDBRLT,Boise River Basin,LDP Tree,570825,4842972,11,43.7364,-116.1205,1/31,11:15:00
16,IDBRLT_20200212_1400,IDBRLT,Boise River Basin,LDP Tree,570821,4842961,11,43.7363,-116.12055,2/12,14:00:00
17,IDBRLT_20200220_1042,IDBRLT,Boise River Basin,LDP Tree,570823,4842965,11,43.73634,-116.12052,2/20,10:42:00
18,IDBRLT_20200226_1115,IDBRLT,Boise River Basin,LDP Tree,570819,4842967,11,43.73636,-116.12057,2/26,11:15:00
19,IDBRLT_20200304_1111,IDBRLT,Boise River Basin,LDP Tree,570826,4842961,11,43.7363,-116.12049,3/4,11:11:00
20,IDBRLT_20200311_1117,IDBRLT,Boise River Basin,LDP Tree,570817,4842967,11,43.73636,-116.1206,3/11,11:17:00
21,IDBRBO_20191218_1424,IDBRBO,Boise River Basin,Banner Open,640700,4907222,11,44.30464,-115.23603,12/18,14:24:00
22,IDBRBO_20200109_1411,IDBRBO,Boise River Basin,Banner Open,640701,4907221,11,44.30463,-115.23601,1/9,14:11:00
23,IDBRBO_20200123_1430,IDBRBO,Boise River Basin,Banner Open,640704,4907219,11,44.30461,-115.23598,1/23,14:30:00
24,IDBRBO_20200130_1340,IDBRBO,Boise River Basin,Banner Open,640704,4907219,11,44.30461,-115.23598,1/30,13:40:00
25,IDBRBO_20200206_1300,IDBRBO,Boise River Basin,Banner Open,640707,4907216,11,44.30458,-115.23594,2/6,13:00:00
26,IDBRBO_20200213_1230,IDBRBO,Boise River Basin,Banner Open,640698,4907204,11,44.30447,-115.23606,2/13,12:30:00
27,IDBRBO_20200219_1222,IDBRBO,Boise River Basin,Banner Open,640700,4907220,11,44.30462,-115.23603,2/19,12:22:00
